MINERVA	GAMBLE
DOUGLAS	MCCULLOUGH
ESTEBAN	MAYER
BRENDA	MCMAHON
FAY	RICHMOND
IRIS	EVANS
CLIFF	FRANKS
ROBBY	BURGESS
RHONDA	KLINE
TOM	SLATER
JIMMIE	RUSSO
LOTTIE	MEYER
BENNETT	HOLMES
RYAN	LAWSON
BOBBI	BARNETT
SYBIL	LYNN
COLE	ROSA
CHRISTY	MEJIA
HOLLIS	FERGUSON
BARBRA	ROACH
SHARON	MARKS
GREGORY	OLSON
JERRY	EATON
CHRISTINA	CALDERON
DELBERT	KENT
GAIL	BLANCHARD
LORRAINE	WILLIAMS
LINDSEY	HARDING
THADDEUS	ODOM
ADA	FRYE
TAMERA	SHARPE
FREEMAN	FREDERICK
EVAN	LIVINGSTON
RUSSEL	WILKERSON
VALERIE	JUAREZ
FREDDIE	RUSH
RILEY	KINNEY
STACY	PIERCE
ROBBIE	BEST
RUTH	WALLER
ARRON	GONZALES
JEWEL	HINES
EZRA	POWERS
JODI	BIRD
BUFORD	MACK
SYLVIA	RIVERA
GAYLE	HANSEN
GERALD	BISHOP
MICAH	CRAFT
PEARL	KELLER
TARA	LEE
LEROY	STEWART
AUGUST	WEEKS
MARISOL	CABRERA
ALDO	HURST
JACLYN	ATKINS
STAN	NOEL
ELLA	RIVAS
ELSIE	HOBBS
NAPOLEON	MURRAY
LELAND	HARPER
FRANCIS	FIGUEROA
CONNIE	TUCKER
RICHARD	PUGH
ZELMA	SEARS
FRANCISCA	SCHMIDT
GRACIE	HAYES
FRIEDA	NUNEZ
JOHANNA	RHODES
KELLIE	FLORES
TANNER	WALLS
BRANDY	SAMPSON
CHRYSTAL	RAMIREZ
LAURIE	BARTON
JULIO	JARVIS
SEYMOUR	GILLESPIE
ROSIE	SHEPARD
ELIAS	SPENCER
ANTOINE	LE
JOY	KEMP
MARQUITA	GARZA
WALTER	PARKS
CHARLEY	EVERETT
WILMER	BROOKS
RONDA	WARNER
DERICK	STRICKLAND
RUBY	BENTLEY
AUGUSTA	PACE
COLEEN	SAVAGE
BRITNEY	KELLEY
SANDY	DICKERSON
CLINT	DURAN
VICKY	TILLMAN
SHANNA	GILLIAM
ALYSON	GILBERT
LAVERNE	FROST
SIMON	HARDY
JANET	BEAN
CHAD	UNDERWOOD
LEIGH	HOWARD
DAWN	BOWEN
DICK	HALEY
REED	BLEVINS
ASHLEY	GUZMAN
DEBORAH	WEBSTER
ANNIE	OBRIEN
TRINIDAD	GARRISON
GENARO	CHANEY
LUELLA	REYES
COURTNEY	SERRANO
AMPARO	GOODWIN
LLOYD	MORGAN
CLAY	MONTGOMERY
ROBBIE	NOLAN
MALINDA	BARLOW
SUMMER	YOUNG
EVERETTE	BRENNAN
VERA	BRYAN
WENDI	CROSBY
RONNY	CHRISTIAN
COLLEEN	FITZGERALD
RICKIE	CURRY
BERTIE	MOSS
SHELLEY	HERRING
MIGUEL	GREEN
LENARD	BURKE
MONTY	SALINAS
KENDRICK	RICHARDS
RUDOLPH	RICH
KRISTOPHER	MULLINS
CARTER	DOTSON
MITZI	AUSTIN
STEVIE	ANDREWS
ENRIQUE	PALMER
SOFIA	WALTER
NELSON	WISE
EDUARDO	MACDONALD
JACQUELYN	WALKER
JESUS	BRAY
KITTY	HEAD
CONCETTA	ALEXANDER
MARIAN	PITTS
SCOTT	LOGAN
NIKKI	EWING
CHARLENE	SWEENEY
PABLO	WARD
TINA	SCHROEDER
FERDINAND	GUTIERREZ
KATE	PAGE
JODIE	FLYNN
MILLIE	HOPPER
LUCAS	FAULKNER
LORAINE	TRAN
ELIJAH	PATTON
ANGELA	MCDANIEL
MARIA	CASTANEDA
LILY	LAWRENCE
RUBIN	AYERS
BERTA	RANDALL
LEANNE	WALTON
MILAGROS	HARMON
TERRI	HARRISON
VERNA	MASON
MOHAMMAD	ALFORD
TAD	VILLARREAL
JEANINE	PERRY
BLANCHE	GREGORY
JOHNNIE	HOGAN
ALANA	DEJESUS
COLIN	BRUCE
PAT	TYLER
JEANIE	JOHNS
ROLANDO	BLANKENSHIP
DREW	VANG
MAVIS	CARSON
CALVIN	CLEMENTS
ERIKA	SWEET
TABATHA	MAYO
GINA	GILES
CLARA	HEATH
VINCE	WATSON
SHEENA	BOLTON
KELLY	WILLIS
EDMUND	ROSARIO
DARREN	DAWSON
JENNA	JENKINS
MADELEINE	TANNER
LESA	MARSH
SETH	RIGGS
RONNIE	GUERRERO
LUCIO	BOOTH
TRACI	HESS
JONI	FRANCO
JONATHAN	HANEY
ELBERT	MORIN
CHARLIE	MCCORMICK
ALISON	CARNEY
LYLE	CLAYTON
HARLEY	BEARD
LUCY	YATES
SILAS	HARTMAN
KERMIT	BOWERS
IRENE	PEREZ
BILL	NGUYEN
MAGGIE	LEON
AILEEN	CERVANTES
ELVIA	MAY
BENITO	BOYD
JUAN	MACIAS
SHAUNA	MCCOY
DOLLY	SHEPPARD
CHADWICK	DICKSON
ROBT	PATEL
MARTHA	PAYNE
GRAHAM	BUCK
LOUISE	CARTER
CHRIS	HOWELL
ANTON	HIGGINS
KAYLA	COBB
KIP	MORRIS
PATTY	FITZPATRICK
TEDDY	PENA
BETHANY	CHURCH
WARREN	JOSEPH
INES	KNAPP
DALLAS	BULLOCK
AMOS	BUTLER
JUDSON	MOSES
DARRELL	SAUNDERS
ROYAL	ENGLAND
GRACIELA	VELEZ
BETTYE	BARKER
DENIS	MEDINA
LORA	CALHOUN
REGINALD	HODGE
TRACY	ONEIL
JOSIAH	MOORE
FRANKIE	COFFEY
BRIGITTE	KIDD
HUNTER	BRADY
JIMMIE	MADDEN
KENNY	PARSONS
ALBERT	HANSON
RODNEY	JOYNER
KRIS	MCINTOSH
MAURO	DEAN
KATRINA	DYER
CHERIE	VELASQUEZ
EFFIE	DUNN
ELIZA	STEPHENS
JUNE	BECK
GWENDOLYN	BASS
ELLIOTT	CASEY
CAROLE	BOOKER
STACY	RAMSEY
CRAIG	ALSTON
DINA	MAYS
ALFRED	WOOTEN
WILLIAMS	GARCIA
XAVIER	RICE
DEBRA	CLARK
CELIA	HOLMAN
FRANKLIN	HOUSTON
LANNY	BALL
SELENA	VAUGHN
OFELIA	BREWER
DOMINIQUE	SIMPSON
MAGDALENA	HOLT
DENA	CONTRERAS
LEONEL	CASH
BETSY	LANCASTER
NED	DAY
JESSIE	BLACKBURN
ROY	ORTEGA
ROSALIND	CALLAHAN
SABRINA	BAIRD
CAMERON	SHELTON
MORGAN	BARRON
AIDA	MEYERS
ANGELITA	FARLEY
NATASHA	FRY
RANDALL	FLETCHER
KAITLIN	LEVINE
MARCI	WILLIAMSON
BRIAN	DANIELS
STEPHEN	WYNN
COLBY	ALBERT
FRANCES	MCKNIGHT
DAVID	HANCOCK
WESTON	VEGA
MAXWELL	KERR
GUILLERMO	POLLARD
SUZANNE	FLOWERS
PHYLLIS	LINDSEY
GRADY	HEWITT
ROBERT	BRITT
LESTER	BUCKLEY
VILMA	MASSEY
JASON	MCLEOD
BRIDGETT	BRIGGS
CHRISTA	BRADSHAW
CESAR	MANNING
ORVAL	WADE
DIANA	COPELAND
TERRANCE	SOTO
SUNG	WEAVER
ROBIN	QUINN
RAYMUNDO	MERRITT
SCOT	WHEELER
BRENT	BERRY
LORENZO	MCGUIRE
FREIDA	STOKES
JAMI	TOWNSEND
BRIANNA	SANDERS
DALE	FOWLER
GINO	ATKINSON
TONY	JIMENEZ
LETHA	POOLE
ROBERTA	SEXTON
JEANNIE	BRADFORD
GAVIN	BENJAMIN
COLEMAN	MCDOWELL
MARGARET	VALDEZ
EARL	ROSE
ALLYSON	BYERS
SHERRIE	FERRELL
ROSEMARY	ROBERTS
MELODY	CARDENAS
CECILIA	VAZQUEZ
PETRA	HUBER
GENA	HUTCHINSON
DARWIN	CANNON
NONA	MCKINNEY
SONJA	RUIZ
ANGELO	ROWLAND
VIRGINIA	WEBER
MINERVA	RODRIGUEZ
NICHOLAS	ARMSTRONG
VALENTIN	BATES
KARA	WOLFE
RAPHAEL	HEBERT
STERLING	WELCH
JOANNA	BALDWIN
DANNIE	DALTON
HENRY	MERCADO
TRENTON	ROSALES
STEPHAN	THOMPSON
LIZZIE	SHIELDS
OLGA	PADILLA
FORREST	GLOVER
INGRID	STEIN
ROMAN	PUCKETT
LESLIE	FLOYD
VICKI	VELAZQUEZ
RODRICK	BOYER
PAM	CARVER
LATISHA	TERRELL
PERCY	LYONS
SHARI	HOOVER
ANASTASIA	DILLON
OLIVE	BOWMAN
WINIFRED	WHITE
RANDI	LANGLEY
GUSTAVO	RAMOS
ALICIA	ROY
SUSANA	SCOTT
MARYLOU	STUART
GLEN	GARDNER
BENJAMIN	REEVES
FRANCINE	VALENTINE
BLAINE	PRICE
OMAR	GROSS
DARIUS	FOREMAN
JULIUS	MORTON
THEODORE	CONWAY
LIDIA	MOONEY
NITA	HALE
ABIGAIL	GATES
PAUL	WHITNEY
ILA	LOVE
MARTY	MCBRIDE
RENA	WATKINS
AHMED	VAUGHAN
DUANE	CHARLES
WILBURN	NIELSEN
ANDREW	HUNT
MARCEL	VALENCIA
SPENCER	MCKAY
BRAD	SUTTON
EMIL	SCHNEIDER
SUSAN	DAUGHERTY
LETICIA	DUNLAP
GREG	FOSTER
DIANN	ROSS
ROWENA	IRWIN
JEFFERSON	FINCH
DAREN	GRAVES
ROSANNA	TATE
SUSANNE	CLEVELAND
LULA	CLINE
MAURICE	MILLS
DENISE	WILKINSON
VALERIA	VARGAS
PHILIP	SNIDER
ROSA	BUCKNER
RANDELL	BEACH
ISABELLE	MCNEIL
ESPERANZA	HUDSON
MAY	CHAPMAN
DESIREE	MARSHALL
JAMAAL	PEARSON
MADGE	OCONNOR
TREY	HORNE
ALBA	RANDOLPH
WAYNE	HAYDEN
LOLITA	COOKE
HOLLY	COTTON
DANIELLE	HURLEY
RODGER	MCLAUGHLIN
LYNNE	GORDON
DEWEY	DAVIDSON
FLORENCE	HARRELL
MAYRA	CASTRO
CARMEN	DIXON
DELMER	FARMER
MERVIN	SPARKS
MONTE	WEBB
JUDITH	MCCLURE
JESSICA	BLACK
IRMA	AVERY
MARINA	JOHNSON
DALTON	PRINCE
MILES	NIXON
ARNOLD	STOUT
EDDY	NICHOLS
LEOLA	RAYMOND
ARON	HENDRIX
ELMER	WOODWARD
CORNELL	GUERRA
DIRK	MCFARLAND
GILBERT	WILDER
WINFRED	ROGERS
SARAH	DECKER
JACKLYN	CRAWFORD
JOHN	CALDWELL
REGGIE	SKINNER
TRISTAN	HENRY
HUGO	HAMILTON
BRITTANY	JACOBSON
TAMARA	JACOBS
ELISA	WILLIAM
AMANDA	BENTON
MORTON	CASE
MATT	MATHIS
IGNACIO	CHASE
STANLEY	KRAMER
ANA	WILEY
JULIA	NASH
ALEXANDRIA	DOMINGUEZ
PASQUALE	DOWNS
MIKE	BARNES
SUE	TORRES
LETITIA	HART
EVA	FRANKLIN
LINCOLN	TRAVIS
SAMMY	HARVEY
EVERETT	MERCER
GIOVANNI	KIRKLAND
PRINCE	LARA
FRAN	HARRINGTON
SANFORD	FRENCH
SAMMIE	SIMMONS
KATHARINE	GIBSON
SAMANTHA	REESE
JENIFER	GLOVER
EMORY	BRADSHAW
ISRAEL	MERCER
JAN	GEORGE
BENITO	WILLIS
SCOTTY	SHAW
MINNIE	JAMES
BRADFORD	CASH
CLAUDIO	CURRY
RICARDO	DIXON
CANDICE	VAUGHAN
ABIGAIL	THOMAS
KEITH	LEVINE
RICKIE	HARRELL
NANCY	CHRISTIAN
DOMINIQUE	RUIZ
ERICA	WATERS
ANGELIA	LUNA
LARA	SNIDER
SHANNON	HALEY
MARLON	ESTES
WILBUR	PRESTON
PRINCE	GILES
TAD	HOUSE
PHYLLIS	JENKINS
CORRINE	BRADLEY
DUSTY	HEAD
GAYLE	STRONG
FAITH	BARTLETT
MARIANA	HODGE
BILLIE	VILLARREAL
BARBRA	WONG
JO	MALDONADO
TERESA	HUMPHREY
TOM	MEYER
MALCOLM	DICKSON
JERRY	MONTGOMERY
JODY	COCHRAN
AURORA	BAUER
ANNIE	NASH
RUBIN	GARCIA
LORIE	PATTON
NOELLE	KELLER
JANIS	AUSTIN
BONITA	DAUGHERTY
BARBARA	BERRY
FRANCISCO	BURKS
GWENDOLYN	ROWE
PABLO	MCKNIGHT
CHARMAINE	VASQUEZ
KATHY	GUTHRIE
KRISTA	DIAZ
QUINN	LESTER
ROOSEVELT	EVERETT
JANELLE	YATES
DOMINICK	GARZA
ANTON	HARRINGTON
SUSANNE	JENNINGS
ARTURO	REESE
FIDEL	ROBERTS
JOSIAH	MARSH
WADE	MERRITT
ETHEL	SOLIS
JOHANNA	STARK
WILLIE	WILLIAM
ROSEANN	BUCK
KAREEM	MARTINEZ
CLAUDE	SOTO
KARINA	FOWLER
ROBBIE	JOHNSON
CARLOS	BENSON
TRACY	MAYNARD
MICHELE	RUSSO
DINO	TAYLOR
FRANCIS	KENT
SPENCER	ROMAN
FLORINE	FLYNN
AMANDA	DALTON
COLIN	BOND
DARRYL	FIELDS
CARROLL	HOWELL
GIL	FERRELL
ADAN	MEJIA
VERA	CARVER
DAISY	WILLIAMS
LAUREL	NEWMAN
ROMAN	HOOPER
RANDI	HULL
LYNNE	BUTLER
MERLE	BENJAMIN
BUFORD	MCDONALD
MEGHAN	HUNT
ISABEL	MACIAS
CORNELIA	STUART
BRANDIE	CRAWFORD
RACHEL	WEEKS
MONTE	BREWER
GARLAND	BURGESS
EMERY	OCONNOR
RALPH	FARLEY
EMERSON	YORK
MARCELLA	DUDLEY
MITCHELL	MYERS
ALMA	THOMPSON
BERNICE	ROTH
GARRY	ONEILL
CAREY	KELLY
ROBIN	MILLER
FEDERICO	CASTRO
QUEEN	MALONE
PATSY	WOODARD
CORINA	CONWAY
CHELSEA	TODD
SOFIA	MCCALL
DAVE	ABBOTT
KARL	KANE
NEWTON	WOLF
EDWIN	WALL
TYREE	HOUSTON
FRANKIE	FRYE
SHERMAN	HILL
EUGENE	SIMS
FRANK	LEVY
CLEVELAND	CARSON
RENA	GUZMAN
ESTEBAN	HOLDER
MARGARET	ALEXANDER
MARIAN	HAYS
SIDNEY	ACEVEDO
CARLY	BAILEY
MOHAMMED	RIDDLE
KENDRA	DUNN
HELEN	GAMBLE
KIM	HICKS
MARGO	FRENCH
DEANDRE	HARRISON
MELVIN	HARRIS
KATHLEEN	MCCARTY
CHASE	FLOYD
CATHRYN	VAUGHN
NONA	ENGLISH
HEIDI	FISCHER
LENA	DALE
SUZETTE	MADDEN
MYLES	SANTANA
REGINALD	THORNTON
LES	WILSON
GREGORIO	SCHNEIDER
DEVIN	ALBERT
SOLOMON	ORTEGA
MALINDA	PATTERSON
REED	OWENS
CARLTON	LAWSON
NEVA	BURRIS
LORENZO	SALAZAR
NATHAN	MCCLURE
JANINE	FRAZIER
VIRGIL	HOLDEN
LILIA	SMALL
MASON	MCLEAN
JAKE	BYERS
RAE	CROSBY
MARIA	BALLARD
JODI	MCCLAIN
CHARITY	HURST
JAMAAL	WHITFIELD
ANDRE	PIERCE
KERI	GLENN
HENRY	GOMEZ
HOUSTON	CUNNINGHAM
DELMER	RICHARD
BERNADETTE	NICHOLS
ALYCE	CRUZ
FELICIA	RYAN
MAVIS	CHANG
MELISA	CHAMBERS
LUCY	SANDERS
LEON	FLETCHER
FAYE	MAYS
SHARRON	ALFORD
TRAVIS	REEVES
HUGH	TOWNSEND
LOWELL	COMPTON
BRAIN	FOREMAN
BESSIE	BRIDGES
SUZANNE	BLAKE
ANGEL	RIVERS
JULIETTE	PUCKETT
HERMAN	AYALA
HARLAN	ROBINSON
PEDRO	ARMSTRONG
LAKEISHA	FINCH
JOEL	STANTON
ROLLAND	SARGENT
LOLITA	DICKERSON
ORA	CARR
FREDA	SUTTON
RILEY	DAVID
JESSE	GIBSON
IGNACIO	HARPER
DARRELL	HANEY
BETHANY	JACOBS
JEREMY	TERRY
AMY	ACOSTA
ALANA	SHIELDS
ALTON	MERCADO
MARICELA	ENGLAND
AIMEE	PRUITT
ADRIAN	FARRELL
RUTHIE	HENSON
KATELYN	ROSE
BRIANA	GOODWIN
JOHNATHAN	RICHARDS
TERI	BOWEN
CURTIS	HAYNES
TROY	LOTT
SARA	BROWNING
GABRIEL	WIGGINS
BRIANNA	SYKES
GUS	WILCOX
MARCIE	FROST
AUTUMN	DURHAM
MACK	BEARD
KENT	RILEY
COLEEN	ROGERS
SHANNA	TATE
JASPER	LANDRY
GENARO	COFFEY
LEA	FORD
ELAINE	CALLAHAN
PANSY	MOSES
DALE	BALL
JENNA	GALLOWAY
DENVER	LYONS
BURT	DOWNS
GERALD	HAWKINS
GEORGIA	BROOKS
CAROLYN	MCCOY
BUDDY	SAWYER
ALISHA	PHILLIPS
LENARD	MASSEY
CHUCK	BATES
CELINA	BLEVINS
CARLA	HATFIELD
SUSAN	LEONARD
OMAR	POPE
JAYNE	WEST
BENNETT	SEXTON
ROMEO	MOORE
NATASHA	PORTER
GOLDIE	POLLARD
BRUCE	BRYAN
RAQUEL	GARRETT
TOMMY	ASHLEY
STERLING	NOEL
CAROLINE	BURNS
SHEENA	CHANEY
BRENDA	MOONEY
DARNELL	CLEMONS
STEPHAN	WOOTEN
BRIDGET	HAHN
WILLIAMS	ROSARIO
ARTHUR	DELGADO
WYATT	DOTSON
DONNY	CANNON
NELL	DELACRUZ
WM	LONG
REBEKAH	WILKINSON
ZANE	DELEON
LOLA	STRICKLAND
GENEVA	WHITE
SAVANNAH	ROBERSON
FORREST	COOPER
BIANCA	COLE
VIRGINIA	MCPHERSON
ROSE	AGUILAR
DARIN	MCNEIL
REGGIE	DOYLE
JONAS	PHELPS
TIM	VINCENT
DELMAR	BOONE
BETTY	LANG
MARK	SAMPSON
PERCY	BROCK
ELMER	KIDD
KELLIE	LAWRENCE
DEANA	NOBLE
LESTER	MACDONALD
DIANN	BURTON
BRIAN	HORTON
TANIA	BRIGHT
ABRAHAM	CASE
MARQUIS	GUERRERO
BRADLEY	RAYMOND
MARCELO	SWANSON
ROSIE	WHITEHEAD
MARJORIE	HORN
JOSE	EVANS
CINDY	MIDDLETON
OLIVER	DANIEL
AMOS	LOWERY
TY	YOUNG
GALEN	HARVEY
PRESTON	HOLMAN
KIETH	SCHWARTZ
ROBBIE	PETERS
ROSETTA	DUFFY
CHRISTIAN	HEBERT
LORA	GAY
KIRK	RUSSELL
MAI	PAUL
MYRNA	VELASQUEZ
JEROME	SHEPARD
COLETTE	INGRAM
HILARIO	KEMP
RONNY	GATES
LEE	DAVENPORT
MARINA	CARTER
KRISTEN	LEE
KELLEY	ROLLINS
MARCELINO	ZIMMERMAN
RANDALL	ROBLES
LINA	RICHARDSON
LAZARO	PETTY
DICK	MCDOWELL
JESS	KLINE
CHRISTINE	SMITH
LILLY	PACE
BERT	CHURCH
SALLIE	ROMERO
MOSES	CLARK
DANE	ONEAL
ADDIE	CLAYTON
PEGGY	LITTLE
ABE	PARRISH
MARCI	WHITLEY
JAIME	HERNANDEZ
RON	JOHNSTON
STUART	BISHOP
CHASITY	AVILA
SALVADOR	WATKINS
TAMMIE	JONES
CASSIE	FAULKNER
ELMA	WEAVER
CLIFTON	HAMPTON
BETH	ALVAREZ
ANDREW	PICKETT
SOCORRO	ROCHA
DENNIS	FITZPATRICK
RUPERT	FRANCIS
CLINT	CONNER
FREDDIE	WYATT
SHELBY	HUDSON
LEONARD	SUAREZ
ELSA	HEWITT
JOEY	MEADOWS
LEOPOLDO	STEPHENSON
CHRIS	BERNARD
MARGRET	COLON
ANTOINETTE	RAMIREZ
MARIANNE	GILLIAM
ANASTASIA	WHITNEY
CORY	HENDRIX
SERENA	COHEN
DELBERT	WOODWARD
ELSIE	WARD
WARREN	BARLOW
SHIRLEY	ROBBINS
DIANA	POOLE
VERN	MARTIN
ARCHIE	CLEMENTS
LINCOLN	ROSA
ARMANDO	COOLEY
TIFFANY	CORTEZ
BROCK	VALENCIA
MARISSA	BONNER
LUCIANO	JIMENEZ
DANA	NAVARRO
WINIFRED	GORDON
EMILY	ERICKSON
MARISOL	BENTLEY
CHESTER	GALLAGHER
MURRAY	STEVENS
KELLI	WALSH
THERON	ESTRADA
TYSON	DUNCAN
RENE	DANIELS
SAMANTHA	WADE
JORGE	IRWIN
KRIS	TANNER
JOSEPH	FULLER
KELLY	FITZGERALD
AUBREY	LEON
GRADY	PATE
JOAN	WYNN
SEYMOUR	DENNIS
LARRY	HOOVER
BROOKS	OCHOA
MARI	ELLIOTT
SHELDON	SAVAGE
JACOB	BYRD
CYNTHIA	SALAS
CONNIE	PEREZ
DARIO	BURNETT
LUANN	HOPPER
KENTON	HANCOCK
LOGAN	ARNOLD
ADRIANA	CHANDLER
REYNALDO	JACKSON
ANGELO	EMERSON
TERENCE	PAGE
ERIK	WATSON
CRAIG	RASMUSSEN
ADELA	MAYO
LUCILE	LYNN
MARC	BURT
TWILA	OLSEN
GRETA	CLAY
CORINE	DONALDSON
EUNICE	HURLEY
ELNORA	MEYERS
LYLE	MILES
FLORENCE	BUCHANAN
JASON	BOLTON
LETICIA	LANCASTER
JERRY	FIGUEROA
MAC	FRANKLIN
ANDRES	SCOTT
DEAN	WALTON
VINCE	ESPINOZA
CLYDE	SWEENEY
AIDA	ATKINSON
LORRIE	GUY
BEATRIZ	NELSON
JANELL	MORRIS
DEBBIE	EDWARDS
ROB	LEWIS
DELORES	MCKINNEY
ADELINE	BRANCH
ELINOR	WHITAKER
JEANIE	BLANKENSHIP
NORBERTO	MOON
JEANETTE	RANDALL
CLARICE	CASEY
WELDON	HALL
JIMMIE	MONROE
ELVIS	SIMON
JOHN	BROWN
BILL	MCINTYRE
MIA	DAY
KAREN	JEFFERSON
NAPOLEON	HODGES
SALLY	FISHER
CARMINE	HOWE
JOANN	CAMERON
STAN	SPEARS
JOHNIE	NGUYEN
JODY	HINTON
SHERRIE	MADDOX
CORA	COLEMAN
MATHEW	WALTERS
SILVIA	PETERSON
EUGENIA	NEWTON
KRISTI	PACHECO
WALTER	HAYDEN
GAVIN	SPARKS
EDMOND	SCHMIDT
TOMAS	LEACH
TERRY	ONEIL
LONNIE	CANTRELL
ALISON	GREER
GALE	VARGAS
ALFREDA	MORALES
ALLAN	VANCE
SHEREE	WASHINGTON
LANCE	BAXTER
AUGUST	CHRISTENSEN
ISSAC	CRANE
MICHELLE	VALENTINE
WILFORD	LANE
GLENDA	HERRING
AVIS	BAKER
DIRK	BOOKER
ALTA	PITTS
MIRANDA	HUFFMAN
JIMMIE	RAY
BRIDGETTE	GROSS
FAUSTINO	LUCAS
MARSHALL	DOMINGUEZ
COLE	STAFFORD
VICTOR	TILLMAN
TIMMY	ROWLAND
GILBERTO	PENNINGTON
VALERIA	ANDERSON
SHARON	HUBER
MARIBEL	KINNEY
BENNIE	HESTER
OCTAVIO	BUCKLEY
GILBERT	VEGA
MARGUERITE	MATHIS
LAWRENCE	KERR
HUBERT	MERRILL
CLAUDINE	WOLFE
JED	GREENE
CARL	MCCORMICK
FRANCESCA	RICH
HATTIE	MITCHELL
MARGARITO	YANG
TRINIDAD	ROY
WAYNE	HOBBS
PHOEBE	CARPENTER
ROBBY	RIOS
DOUGLAS	DAVIDSON
GERTRUDE	BOOTH
BETSY	SHARPE
AURELIO	JOYNER
MARQUITA	NICHOLSON
TASHA	SANDOVAL
GEORGE	DOUGLAS
FERNANDO	KNOX
GAY	MIRANDA
BURTON	BELL
TAMEKA	DODSON
TONY	KIRK
DALTON	SNYDER
KIRSTEN	WALTER
DENNY	HUBBARD
PAULINE	COOK
JERROD	JENSEN
BRENDAN	TALLEY
ELI	SANFORD
ALLIE	DELANEY
MERLE	DEAN
VANESSA	OBRIEN
MEREDITH	CALDERON
ROBERTO	GILBERT
FREDERICK	ROACH
ALONZO	FRANKS
PHILIP	COX
REGINA	RAMOS
CHARLIE	WEBB
EDUARDO	SHEPPARD
LINDSAY	STOKES
KENDALL	SIMMONS
LEO	SHEPHERD
MAURO	MORTON
GREG	RIGGS
YVONNE	FRANCO
CEDRIC	WORKMAN
PARKER	ROJAS
ALISA	MANN
JANET	SULLIVAN
GLEN	MCINTOSH
ABBY	SCHROEDER
WALLACE	MURRAY
ASHLEY	CASTILLO
LEROY	MELTON
CHI	LINDSEY
STACY	LOGAN
LINWOOD	JOYCE
MOLLIE	KELLEY
VIOLA	HOGAN
OSCAR	CHASE
LOUIE	VALDEZ
HOLLY	HERMAN
TAMMY	MORIN
KATIE	FOLEY
NICK	MOSLEY
MARIO	WEBER
OLLIE	EATON
SHARI	TORRES
BENJAMIN	HOLCOMB
KERRY	MATTHEWS
SANDY	NIEVES
CAMERON	BEST
ELTON	MCFADDEN
ETTA	PARKS
ELBERT	HENDRICKS
LATONYA	HARDING
LESA	BULLOCK
IVA	PRATT
CECELIA	GIBBS
LYNN	MCGOWAN
CHRIS	JACOBSON
ROSENDO	COBB
LOURDES	HUNTER
ERNESTINE	CLEVELAND
ROBERT	MCCONNELL
STACI	ROSS
VICKY	DAWSON
GALE	HAYES
CLARK	MOODY
DEE	SANCHEZ
ISABELLA	COOKE
SILAS	NUNEZ
LOUIS	GRAVES
HOLLIE	MOSS
ALEC	SERRANO
JUSTINE	BARRON
JEFFERSON	REYNOLDS
CHRISTIE	NIXON
NIGEL	BOWMAN
JONATHAN	CLARKE
NORBERT	TRUJILLO
REX	SPENCER
HARRIET	CROSS
AHMAD	GOOD
DIEGO	MENDEZ
HORACIO	DAVIS
LISA	WARE
SERGIO	HART
DARRIN	JUAREZ
DESIREE	COTE
CELIA	BLANCHARD
CLEO	ALLISON
YVETTE	KIM
RUSS	MORENO
LYNNETTE	BRUCE
VALERIE	WARNER
LUISA	SINGLETON
EUGENIO	CRAIG
JERI	KEITH
JACQUELYN	PETERSEN
EVAN	PRICE
STACIE	STANLEY
KELLY	FRY
ELVIRA	GRIFFIN
DIANNA	DORSEY
JILL	HUGHES
PIERRE	BECK
LEVI	SHORT
OPHELIA	WINTERS
ISABELLE	MORAN
TABATHA	PAYNE
CAREY	SHANNON
REID	LIVINGSTON
SYLVIA	ROBERTSON
SHERI	CONRAD
CASANDRA	WALLS
SHANA	BRAY
CARMELA	TURNER
JOHNATHON	MILLS
MAUDE	FINLEY
AARON	WILDER
NORRIS	HOFFMAN
SAUNDRA	CASTANEDA
LEANNA	ROSALES
HEATH	DONOVAN
RAYMOND	BECKER
EMANUEL	NORMAN
MORGAN	RUSH
HESTER	DILLARD
JANETTE	BEAN
DON	CABRERA
ANNE	CALHOUN
DEENA	WALLACE
LAURENCE	ADKINS
JAME	KING
JOAN	CARDENAS
CAROL	TREVINO
VITO	HOWARD
SAMMY	COLLINS
DENA	SUMMERS
KERRI	WILLIAMSON
ANNMARIE	COTTON
ERICK	PITTMAN
NITA	HALE
JACKIE	POTTS
EVERETT	POTTER
TAMIKA	CRAFT
ELOY	LINDSAY
MAUREEN	SOLOMON
ROSEMARIE	WARREN
BERTHA	PADILLA
RANDELL	SANTOS
IRMA	JORDAN
KAITLIN	DEJESUS
SUSANNA	ORTIZ
RENEE	BOYER
JOHNNIE	JUSTICE
DANIELLE	REID
THURMAN	PENA
JAY	RATLIFF
LUZ	SHARP
ERIN	MORSE
LILY	AYERS
ARACELI	GREGORY
CRISTINA	BURCH
ALI	FERNANDEZ
ANTONIO	FRANK
LETITIA	GARNER
ILA	GRANT
DORIS	LARA
LUELLA	LOWE
RENE	MOLINA
RICKY	ANTHONY
ALFONZO	SNOW
BECKY	BANKS
ROSS	BRIGGS
REFUGIO	BEACH
JERALD	LARSEN
DEIRDRE	JOSEPH
CAROL	OWEN
ROSANNE	MARKS
RHODA	ORR
DIANE	CONLEY
LOIS	LLOYD
HARLEY	QUINN
MONROE	FLEMING
TEDDY	CAREY
OWEN	WEISS
